City,Zip Code,Population,Precipation,Temperature,Air Quality,Population Density,Land Type,Latitude,Longitude,Has Park
Carlsbad,92009,114160,12,63,2,1236.1,3,33.1581,117.3506,1
San Diego,92154,1381182,10.3,64.7,2,829.6,3,32.7157,117.1611,1
National City,91950,61394,11,64,2,3059.5,3,32.6781,117.0992,1
Ocotillo Wells,92004,3200,3,74,1,2.2,1,33.1495,116.1531,1
Julian,92036,3075,30,54,1,7.4,1,33.0781,116.6006,1
Escondido,92027,151300,14.4,64.8,2,329.8,3,33.1192,117.0864,1
Borrego Springs,92004,3200,5,75,1,2.2,1,33.2559,116.3753,1
San Clemente,92672,64293,12.8,65.4,1,3519.2,3,33.4269,117.6112,1
Coronado,92118,17802,10.2,64.5,2,1166.3,3,32.6859,117.1831,1
Chula Vista,91911,285000,10,65.4,2,2736.2,3,32.6401,117.0842,1
Palomar Mountain,92060,200,30,55,1,1.2,1,33.3434,116.9031,1
Oceanside,92057,176193,13,64.5,2,1383.6,3,33.1959,117.3795,1
Imperial Beach,91932,26157,11.1,65.7,2,3753.6,3,32.5839,117.1131,1
Alpine,91901,16437,20,61,1,200,1,32.8351,116.7664,1
Bonita,91902,14476,13,64,1,1900,3,32.6592,117.0303,0
Bonsall,92003,4068,16,63,1,300,1,33.2884,117.2271,0
Borrego Springs,92004,3200,6,75,1,50,1,33.2559,116.3753,0
Boulevard,91905,265,17,59,1,12,1,32.6659,116.2875,0
Camp Pendleton,92055,11774,13,64,1,900,3,33.3842,117.237,1
Campo,91906,3400,17,60,1,22,1,32.6095,116.4681,0
Cardiff By The Sea,92007,11939,11,64,1,2600,3,33.0203,117.2789,1
Carlsbad,92009,114160,12,63,1,3050,3,33.1581,117.3506,1
Chula Vista,91910,285000,10,65,1,4700,3,32.6401,117.0842,1
Coronado,92118,17802,10,64,1,3500,3,32.6859,117.1831,1
Del Mar,92014,3818,11,64,1,1000,3,32.9595,117.2653,1
Descanso,91916,1452,20,59,1,55,1,32.8532,116.6156,0
Dulzura,91917,700,15,62,1,10,1,32.612,116.7742,1
El Cajon,92020,102702,13,65,1,6500,3,32.7948,116.9625,1
Encinitas,92024,60750,11,64,1,3500,3,33.0369,117.2915,1
Escondido,92027,151300,14,65,1,4078,3,33.1192,117.0864,1
Fallbrook,92028,35061,16,64,1,2000,3,33.3764,117.2511,1
Guatay,91931,1500,18,61,1,30,1,32.8532,116.5386,1
Imperial Beach,91932,26157,10,65,1,8200,3,32.5839,117.1131,1
Jacumba,91934,400,15,62,1,10,1,32.6176,116.1895,0
Jamul,91935,6128,15,63,1,100,1,32.7162,116.8764,1
Julian,92036,3075,30,55,1,150,1,33.0781,116.6006,0
La Jolla,92037,46781,11,64,1,5800,3,32.8328,117.2713,1
La Mesa,91941,59650,13,65,1,6500,3,32.7678,117.0231,1
Lakeside,92040,22486,15,65,1,2000,3,32.8573,116.9223,1
Lemon Grove,91945,26834,13,65,1,6000,3,32.7428,117.0313,1
Mount Laguna,91948,100,25,55,1,20,1,32.8723,116.4181,0
National City,91950,61394,11,64,1,7200,3,32.6781,117.0992,1
Oceanside,92057,176193,13,64,1,3922,3,33.1959,117.3795,1
Pala,92059,1300,17,63,1,50,1,33.3658,117.0753,0
Palomar Mountain,92060,300,30,55,1,20,1,33.3434,116.9031,0
Pauma Valley,92061,1677,17,63,1,100,1,33.3012,116.9825,0
Pine Valley,91962,1945,20,59,1,100,1,32.8212,116.5295,0
Potrero,91963,654,16.4,62.3,1,208,1,32.6051,-116.6122,0
Poway,92064,48439,12.6,67.8,1,1172,2,32.9628,-117.0359,1
Ramona,92065,20292,16.6,63.4,2,453,2,33.0414,-116.8687,1
Ranchita,92066,169,13.2,60.7,1,7,1,33.2178,-116.5084,0
Rancho Santa Fe,92067,3156,12.1,66.2,1,513,2,33.0197,-117.2028,1
San Diego,92101,1423851,10.4,64.9,2,4324,3,32.7157,-117.1611,1
San Luis Rey,92068,0,11.9,64.7,1,1000,3,33.2317,-117.3024,0
San Marcos,92069,94709,13.6,64.8,1,3649,2,33.1434,-117.1661,1
San Ysidro,92173,29982,9.5,65.4,2,5017,3,32.5553,-117.0477,1
Santa Ysabel,92070,105,24.6,58.4,1,6,1,33.1092,-116.6748,0
Santee,92071,58115,12.3,67.2,2,3317,2,32.8384,-116.9739,1
Solana Beach,92075,13356,11.5,63.3,1,3771,3,32.9918,-117.2713,1
Spring Valley,91977,30899,13.3,65,2,2961,2,32.7448,-116.998,1
Tecate,91980,200,13.8,63.5,1,19,1,32.5831,-116.6286,0
Valley Center,92082,9872,17.5,62.1,1,268,1,33.2184,-117.034,0
Vista,92083,101638,13.9,64.3,1,5199,2,33.2,-117.2425,1
Warner Springs,92086,1191,18,59.7,1,20,1,33.3831,-116.6531,0